"","patient_id","CD274","PDCD1"
"1","GSM1523727",3.4347739338949,7.10594585780116
"2","GSM1523728",5.82303200433259,6.69739581572115
"3","GSM1523729",4.41437907726833,5.59794475323296
"4","GSM1523744",5.3827899779497,6.21284448531887
"5","GSM1523745",5.31554181079635,5.09120248583157
"6","GSM1523746",3.68898744117854,4.89541732533765
"7","GSM1523747",3.94645018563118,5.48007632836987
"8","GSM1523748",3.95777691582378,2.81967673300822
"9","GSM1523765",5.12821311629866,7.61015651114133
"10","GSM1523768",5.85379191512212,3.85790353431332
"11","GSM1523769",6.2732259203597,2.65080744336594
"12","GSM1523770",7.32887676096574,6.45681296376348
"13","GSM1523771",5.47762259875245,2.52548378609437
"14","GSM1523772",5.04441595539813,3.19242591138768
"15","GSM1523773",3.94014052442027,2.14066905088507
"16","GSM1523774",4.20704514841074,2.71184095042849
"17","GSM1523775",5.3474242474098,5.11816652473384
"18","GSM1523776",7.78822144764388,4.69973905853279
"19","GSM1523777",3.80467945232215,6.31329232639091
"20","GSM1523778",6.28195570301925,3.36152171363641
"21","GSM1523779",6.17351148844923,6.64488085012864
"22","GSM1523780",6.22751353607231,5.17317075474421
"23","GSM1523781",2.21582631184981,6.32823931108691
"24","GSM1523782",5.48023594868056,7.37734027050391
"25","GSM1523783",5.47179159368256,7.24184263212729
"26","GSM1523784",4.65891290561961,5.86452098851499
"27","GSM1523785",5.70633475457704,6.24518602620114
"28","GSM1523786",5.67943544390803,5.89601972874601
"29","GSM1523787",4.03473293925681,6.94423415612673
"30","GSM1523788",4.92015175543377,2.93468315418651
"31","GSM1523789",5.17724870230278,5.30863235672716
"32","GSM1523790",8.82406448864348,3.44415090679418
"33","GSM1523791",7.34965093405351,3.8993307939802
"34","GSM1523792",4.93649158903207,5.80626359697488
"35","GSM1523793",5.61455708916844,4.60111144721454
"36","GSM1523794",5.88183335068169,4.50717487867035
"37","GSM1523795",5.24840800535488,4.27211837877192
"38","GSM1523796",5.5298779345273,5.33343064746962
"39","GSM1523797",5.76174228459548,4.84696301236354
"40","GSM1523798",6.79817011879758,6.66998414903251
"41","GSM1523799",5.43435025196247,7.05207210150779
"42","GSM1523800",6.51528858651009,3.85877359185673
"43","GSM1523801",6.49712592830265,5.49940908928888
"44","GSM1523802",6.01143193257159,6.0796518612628
"45","GSM1523803",4.79509195489282,6.33441688987909
"46","GSM1523804",4.88570522449598,5.8433916289056
"47","GSM1523805",7.11910413070816,3.96361733446598
"48","GSM1523806",4.98066463993038,4.31302782644904
"49","GSM1523807",6.11004073653946,3.90813870386176
"50","GSM1523808",6.1081124619303,4.43254891525086
"51","GSM1523809",5.72709187912139,1.94705890137194
"52","GSM1523810",7.69423298137939,4.71976610943124
"53","GSM1523811",6.6308420349399,4.65994631137725
"54","GSM1523812",6.91590749404222,6.5267419607309
"55","GSM1523813",5.46698966903236,3.01260312793213
"56","GSM1523814",5.10179113604509,3.93471367615727
"57","GSM1523815",4.89797370443859,5.41979616278753
"58","GSM1523816",3.83605400458293,6.87989400757051
"59","GSM1523817",4.62742419058282,5.59231998009014
"60","GSM1523818",4.21417013741774,5.92884065008386
"61","GSM1523819",3.22505685352726,6.71877193002569
"62","GSM1523820",5.26757663784692,4.90184452351348
"63","GSM1523821",5.8346278644385,4.3630749417522
"64","GSM1523822",6.72777043072674,3.96039070472788
"65","GSM1523823",8.60980235963805,7.40288245176716
"66","GSM1523824",6.50001570915094,6.49867113484487
"67","GSM1523825",9.60798320866554,4.06025786056203
"68","GSM1523826",5.74091548909068,5.36335340402176
"69","GSM1523827",5.55846665029745,5.38738640209754
"70","GSM1523828",5.19385856910363,4.75865538650491
"71","GSM1523829",4.63890990560943,3.64447254870598
"72","GSM1523830",6.02216319712958,6.28964570761526
"73","GSM1523831",4.61465034179969,5.64595258290037
"74","GSM1523832",4.67841606285319,3.27807483465729
"75","GSM1523833",4.94215905946491,5.45844303590182
"76","GSM1523834",6.58626304263803,6.01306126969456
"77","GSM1523835",3.92275134394608,3.17128740767477
"78","GSM1523836",7.04973391487898,3.89715235218161
"79","GSM1523837",3.45603925354818,3.33180968151202
"80","GSM1523838",7.49759407058656,4.25920390837227
"81","GSM1523839",5.82837314896681,5.03215541770266
"82","GSM1523840",4.36563219346555,3.18394741874828
"83","GSM1523841",5.0155889648615,4.13566239407339
"84","GSM1523842",5.50789184233104,2.62598869684094
"85","GSM1523843",5.12713193228423,6.65049530309024
"86","GSM1523844",3.43705547133083,3.95843656602519
"87","GSM1523845",6.15321447785182,5.81659809481513
"88","GSM1523846",5.02737050100737,4.08938571210933
"89","GSM1523847",7.01600037416436,3.97210898334783
"90","GSM1523848",12.4417102572443,6.63761113970724
"91","GSM1523849",5.84407080376381,3.92947105881843
"92","GSM1523850",4.19677403619133,3.9406795459044
"93","GSM1523851",6.40843612711692,5.41479593899092
"94","GSM1523852",5.54441354237836,4.387822652202
"95","GSM1523853",4.8134851808637,3.78458523190681
"96","GSM1523854",5.8267141971628,4.4157969122062
"97","GSM1523855",3.35455535286926,6.33291914136905
"98","GSM1523856",6.11163006270494,4.91238294382691
"99","GSM1523857",4.30351520575013,4.24810118577267
"100","GSM1523858",2.08921556501209,2.74135703417865
"101","GSM1523859",5.09202490773196,6.36035510482826
"102","GSM1523860",7.21557688086298,5.80210048198838
"103","GSM1523861",5.98253699438857,3.20985952484054
"104","GSM1523862",3.79524439333025,5.37226965643699
"105","GSM1523863",7.87040599406128,7.0625255650133
"106","GSM1523864",5.21246672130546,5.4369099000937
